127.0.0.1 - - [10/Jun/2023:08:34:12 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:13 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:14 +0700] "GET /new-jdbc/trang-chu;jsessionid=B9D0BC83AD533AA806BD2EE9EACB13D5 HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:14 +0700] "GET /new-jdbc/template/web/css/style.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:14 +0700] "GET /new-jdbc/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:14 +0700] "GET /new-jdbc/template/web/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:14 +0700] "GET /new-jdbc/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70682
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:23 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:34:37 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 500 3459
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:35:29 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 500 3459
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:08 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:08 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27750
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85661
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/paging/jquery.twbsPagination.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:37:13 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [10/Jun/2023:08:56:52 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7505
