127.0.0.1 - - [11/Jul/2023:14:30:34 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:34 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:35 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:35 +0700] "GET /new-jdbc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:35 +0700] "GET /new-jdbc/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:35 +0700] "GET /new-jdbc/template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:35 +0700] "GET /new-jdbc/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:36 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:42 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 7437
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:42 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:42 +0700] "GET /new-jdbc/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:46 +0700] "GET /new-jdbc/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:46 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:48 +0700] "GET /new-jdbc/admin-new?page=2&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:48 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:49 +0700] "GET /new-jdbc/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:49 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:50 +0700] "GET /new-jdbc/admin-new?page=2&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:50 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:50 +0700] "GET /new-jdbc/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 9106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:14:30:50 +0700] "GET /new-jdbc/ckeditor/ckeditor.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:26:31 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:27:05 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:27:41 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:29:23 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:32:35 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:33:02 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7658
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:33:13 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7588
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:34:49 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:36:44 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:38:05 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:38:06 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:38:14 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:39:35 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7626
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:39:45 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7621
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:40:00 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:41:49 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 21698
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:42:03 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 21698
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:42:39 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 21698
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:44:30 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7654
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:45:07 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7710
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:45:40 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 7807
0:0:0:0:0:0:0:1 - - [11/Jul/2023:15:49:42 +0700] "GET /new-jdbc/trang-chu HTTP/1.1" 200 8019
